areaCode,areaName,areaType,date,age,rate,value
E92000001,England,nation,2023-06-06,0_to_5,576.0,22630
E92000001,England,nation,2023-06-06,65_to_84,4636.0,419914
E92000001,England,nation,2023-06-06,85+,15977.6,224711
E92000001,England,nation,2023-06-05,18_to_64,1043.1,354592
E92000001,England,nation,2023-06-05,6_to_17,179.7,14671
E92000001,England,nation,2023-06-05,0_to_5,575.8,22623
E92000001,England,nation,2023-06-05,65_to_84,4634.6,419782
E92000001,England,nation,2023-06-05,85+,15971.7,224628
E92000001,England,nation,2023-06-04,18_to_64,1042.9,354522
E92000001,England,nation,2023-06-04,6_to_17,179.7,14668
E92000001,England,nation,2023-06-04,0_to_5,575.7,22619
E92000001,England,nation,2023-06-04,65_to_84,4633.2,419656
E92000001,England,nation,2023-06-04,85+,15966.5,224555
E92000001,England,nation,2023-06-03,18_to_64,1042.7,354459
E92000001,England,nation,2023-06-03,6_to_17,179.6,14666
E92000001,England,nation,2023-06-03,0_to_5,575.6,22615
E92000001,England,nation,2023-06-03,65_to_84,4632.0,419549
E92000001,England,nation,2023-06-03,85+,15960.9,224476
E92000001,England,nation,2023-06-02,18_to_64,1042.6,354415
E92000001,England,nation,2023-06-02,6_to_17,179.6,14666
E92000001,England,nation,2023-06-02,0_to_5,575.4,22607
E92000001,England,nation,2023-06-02,65_to_84,4631.0,419458
E92000001,England,nation,2023-06-02,85+,15958.5,224442
E92000001,England,nation,2023-06-01,18_to_64,1042.5,354364
E92000001,England,nation,2023-06-01,6_to_17,179.6,14663
E92000001,England,nation,2023-06-01,0_to_5,575.4,22604
E92000001,England,nation,2023-06-01,65_to_84,4630.1,419377
E92000001,England,nation,2023-06-01,85+,15954.7,224388
E92000001,England,nation,2023-05-31,18_to_64,1042.3,354294
E92000001,England,nation,2023-05-31,6_to_17,179.6,14661
E92000001,England,nation,2023-05-31,0_to_5,575.2,22598
E92000001,England,nation,2023-05-31,65_to_84,4628.5,419228
E92000001,England,nation,2023-05-31,85+,15950.0,224322
E92000001,England,nation,2023-05-30,18_to_64,1042.1,354227
