areaCode,areaName,areaType,date,age,cases,rollingSum,rollingRate
E92000001,England,nation,2023-08-01,65_69,78,411,14.8
E92000001,England,nation,2023-08-01,70_74,73,434,15.4
E92000001,England,nation,2023-08-01,75_79,67,425,21.1
E92000001,England,nation,2023-08-01,80_84,54,303,20.9
E92000001,England,nation,2023-08-01,85_89,43,265,29.9
E92000001,England,nation,2023-08-01,90+,38,188,36.1
E92000001,England,nation,2023-08-01,unassigned,0,0,
E92000001,England,nation,2023-07-31,00_04,20,117,3.6
E92000001,England,nation,2023-07-31,00_59,422,2432,5.7
E92000001,England,nation,2023-07-31,05_09,7,16,0.5
E92000001,England,nation,2023-07-31,10_14,4,33,1.0
E92000001,England,nation,2023-07-31,15_19,8,61,2.0
E92000001,England,nation,2023-07-31,20_24,27,138,4.0
E92000001,England,nation,2023-07-31,25_29,31,179,4.7
E92000001,England,nation,2023-07-31,30_34,27,209,5.5
E92000001,England,nation,2023-07-31,35_39,46,247,6.6
E92000001,England,nation,2023-07-31,40_44,51,278,8.0
E92000001,England,nation,2023-07-31,45_49,67,317,8.7
E92000001,England,nation,2023-07-31,50_54,78,428,11.0
E92000001,England,nation,2023-07-31,55_59,56,409,10.9
E92000001,England,nation,2023-07-31,60+,422,2307,16.9
E92000001,England,nation,2023-07-31,60_64,62,394,12.3
E92000001,England,nation,2023-07-31,65_69,68,386,13.9
E92000001,England,nation,2023-07-31,70_74,81,412,14.6
E92000001,England,nation,2023-07-31,75_79,71,414,20.6
E92000001,England,nation,2023-07-31,80_84,56,294,20.3
E92000001,England,nation,2023-07-31,85_89,46,244,27.6
E92000001,England,nation,2023-07-31,90+,38,163,31.3
E92000001,England,nation,2023-07-31,unassigned,0,0,
E92000001,England,nation,2023-07-30,00_04,12,114,3.5
E92000001,England,nation,2023-07-30,00_59,386,2325,5.4
E92000001,England,nation,2023-07-30,05_09,4,12,0.3
E92000001,England,nation,2023-07-30,10_14,5,35,1.0
E92000001,England,nation,2023-07-30,15_19,7,67,2.2
E92000001,England,nation,2023-07-30,20_24,24,137,3.9
E92000001,England,nation,2023-07-30,25_29,28,170,4.5
E92000001,England,nation,2023-07-30,30_34,27,212,5.5
E92000001,England,nation,2023-07-30,35_39,47,227,6.1
E92000001,England,nation,2023-07-30,40_44,44,265,7.6
E92000001,England,nation,2023-07-30,45_49,56,278,7.6
E92000001,England,nation,2023-07-30,50_54,63,402,10.4
E92000001,England,nation,2023-07-30,55_59,69,406,10.8
E92000001,England,nation,2023-07-30,60+,363,2200,16.1
E92000001,England,nation,2023-07-30,60_64,75,381,11.9
E92000001,England,nation,2023-07-30,65_69,58,374,13.4
E92000001,England,nation,2023-07-30,70_74,68,383,13.6
E92000001,England,nation,2023-07-30,75_79,76,397,19.8
E92000001,England,nation,2023-07-30,80_84,32,287,19.8
E92000001,England,nation,2023-07-30,85_89,33,232,26.2
E92000001,England,nation,2023-07-30,90+,21,146,28.0
E92000001,England,nation,2023-07-30,unassigned,0,0,
E92000001,England,nation,2023-07-29,00_04,12,113,3.5
E92000001,England,nation,2023-07-29,00_59,306,2215,5.2
E92000001,England,nation,2023-07-29,05_09,0,10,0.3
E92000001,England,nation,2023-07-29,10_14,8,35,1.0
E92000001,England,nation,2023-07-29,15_19,7,69,2.2
E92000001,England,nation,2023-07-29,20_24,14,126,3.6
E92000001,England,nation,2023-07-29,25_29,19,172,4.6
E92000001,England,nation,2023-07-29,30_34,24,208,5.4
E92000001,England,nation,2023-07-29,35_39,26,214,5.7
E92000001,England,nation,2023-07-29,40_44,39,247,7.1
E92000001,England,nation,2023-07-29,45_49,38,251,6.9
E92000001,England,nation,2023-07-29,50_54,55,395,10.2
E92000001,England,nation,2023-07-29,55_59,64,375,10.0
E92000001,England,nation,2023-07-29,60+,323,2054,15.0
E92000001,England,nation,2023-07-29,60_64,60,343,10.7
E92000001,England,nation,2023-07-29,65_69,47,358,12.9
E92000001,England,nation,2023-07-29,70_74,47,349,12.4
E92000001,England,nation,2023-07-29,75_79,65,358,17.8
E92000001,England,nation,2023-07-29,80_84,44,285,19.7
E92000001,England,nation,2023-07-29,85_89,36,222,25.1
E92000001,England,nation,2023-07-29,90+,24,139,26.7
E92000001,England,nation,2023-07-29,unassigned,0,0,
E92000001,England,nation,2023-07-28,00_04,18,114,3.5
E92000001,England,nation,2023-07-28,00_59,328,2117,4.9
E92000001,England,nation,2023-07-28,05_09,1,13,0.4
E92000001,England,nation,2023-07-28,10_14,2,32,0.9
E92000001,England,nation,2023-07-28,15_19,6,68,2.2
E92000001,England,nation,2023-07-28,20_24,21,120,3.5
E92000001,England,nation,2023-07-28,25_29,18,168,4.5
E92000001,England,nation,2023-07-28,30_34,38,211,5.5
E92000001,England,nation,2023-07-28,35_39,22,201,5.4
E92000001,England,nation,2023-07-28,40_44,36,229,6.6
E92000001,England,nation,2023-07-28,45_49,38,241,6.6
E92000001,England,nation,2023-07-28,50_54,68,375,9.7
E92000001,England,nation,2023-07-28,55_59,60,345,9.2
E92000001,England,nation,2023-07-28,60+,296,1935,14.2
E92000001,England,nation,2023-07-28,60_64,52,316,9.9
E92000001,England,nation,2023-07-28,65_69,48,352,12.6
E92000001,England,nation,2023-07-28,70_74,56,333,11.8
E92000001,England,nation,2023-07-28,75_79,53,331,16.5
E92000001,England,nation,2023-07-28,80_84,34,267,18.4
E92000001,England,nation,2023-07-28,85_89,33,210,23.7
E92000001,England,nation,2023-07-28,90+,20,126,24.2
E92000001,England,nation,2023-07-28,unassigned,0,0,
E92000001,England,nation,2023-07-27,00_04,17,114,3.5
E92000001,England,nation,2023-07-27,00_59,313,2018,4.7
E92000001,England,nation,2023-07-27,05_09,2,12,0.3
E92000001,England,nation,2023-07-27,10_14,6,36,1.0
E92000001,England,nation,2023-07-27,15_19,6,68,2.2
E92000001,England,nation,2023-07-27,20_24,18,110,3.2
E92000001,England,nation,2023-07-27,25_29,22,168,4.5
E92000001,England,nation,2023-07-27,30_34,30,195,5.1
E92000001,England,nation,2023-07-27,35_39,33,204,5.5
E92000001,England,nation,2023-07-27,40_44,35,223,6.4
E92000001,England,nation,2023-07-27,45_49,35,232,6.4
E92000001,England,nation,2023-07-27,50_54,57,343,8.9
E92000001,England,nation,2023-07-27,55_59,52,313,8.3
E92000001,England,nation,2023-07-27,60+,314,1852,13.6
E92000001,England,nation,2023-07-27,60_64,47,303,9.5
E92000001,England,nation,2023-07-27,65_69,65,340,12.2
E92000001,England,nation,2023-07-27,70_74,45,320,11.4
E92000001,England,nation,2023-07-27,75_79,42,307,15.3
E92000001,England,nation,2023-07-27,80_84,43,257,17.7
E92000001,England,nation,2023-07-27,85_89,44,203,22.9
E92000001,England,nation,2023-07-27,90+,28,122,23.4
E92000001,England,nation,2023-07-27,unassigned,0,2,
E92000001,England,nation,2023-07-26,00_04,22,108,3.3
E92000001,England,nation,2023-07-26,00_59,319,1952,4.6
E92000001,England,nation,2023-07-26,05_09,1,12,0.3
E92000001,England,nation,2023-07-26,10_14,3,34,1.0
E92000001,England,nation,2023-07-26,15_19,16,76,2.4
E92000001,England,nation,2023-07-26,20_24,20,102,2.9
E92000001,England,nation,2023-07-26,25_29,26,172,4.6
E92000001,England,nation,2023-07-26,30_34,30,191,5.0
E92000001,England,nation,2023-07-26,35_39,25,195,5.2
E92000001,England,nation,2023-07-26,40_44,37,214,6.2
E92000001,England,nation,2023-07-26,45_49,36,221,6.1
E92000001,England,nation,2023-07-26,50_54,52,328,8.5
E92000001,England,nation,2023-07-26,55_59,51,299,7.9
E92000001,England,nation,2023-07-26,60+,302,1787,13.1
E92000001,England,nation,2023-07-26,60_64,51,302,9.4
E92000001,England,nation,2023-07-26,65_69,47,314,11.3
E92000001,England,nation,2023-07-26,70_74,64,323,11.5
E92000001,England,nation,2023-07-26,75_79,51,304,15.1
E92000001,England,nation,2023-07-26,80_84,40,243,16.8
E92000001,England,nation,2023-07-26,85_89,30,186,21.0
E92000001,England,nation,2023-07-26,90+,19,115,22.1
E92000001,England,nation,2023-07-26,unassigned,0,2,
E92000001,England,nation,2023-07-25,00_04,16,96,3.0
E92000001,England,nation,2023-07-25,00_59,358,1904,4.4
E92000001,England,nation,2023-07-25,05_09,1,13,0.4
E92000001,England,nation,2023-07-25,10_14,5,35,1.0
E92000001,England,nation,2023-07-25,15_19,11,66,2.1
E92000001,England,nation,2023-07-25,20_24,14,102,2.9
E92000001,England,nation,2023-07-25,25_29,35,170,4.5
E92000001,England,nation,2023-07-25,30_34,33,189,4.9
E92000001,England,nation,2023-07-25,35_39,48,197,5.3
E92000001,England,nation,2023-07-25,40_44,36,217,6.2
E92000001,England,nation,2023-07-25,45_49,47,220,6.0
E92000001,England,nation,2023-07-25,50_54,55,310,8.0
E92000001,England,nation,2023-07-25,55_59,57,289,7.7
E92000001,England,nation,2023-07-25,60+,287,1681,12.3
E92000001,England,nation,2023-07-25,60_64,47,287,9.0
E92000001,England,nation,2023-07-25,65_69,53,303,10.9
E92000001,England,nation,2023-07-25,70_74,51,289,10.3
E92000001,England,nation,2023-07-25,75_79,56,293,14.6
E92000001,England,nation,2023-07-25,80_84,45,231,15.9
E92000001,England,nation,2023-07-25,85_89,22,173,19.5
E92000001,England,nation,2023-07-25,90+,13,105,20.2
E92000001,England,nation,2023-07-25,unassigned,0,2,
E92000001,England,nation,2023-07-24,00_04,17,91,2.8
E92000001,England,nation,2023-07-24,00_59,315,1837,4.3
E92000001,England,nation,2023-07-24,05_09,3,16,0.5
E92000001,England,nation,2023-07-24,10_14,6,39,1.1
E92000001,England,nation,2023-07-24,15_19,14,71,2.3
E92000001,England,nation,2023-07-24,20_24,26,102,2.9
E92000001,England,nation,2023-07-24,25_29,22,158,4.2
E92000001,England,nation,2023-07-24,30_34,30,180,4.7
E92000001,England,nation,2023-07-24,35_39,26,181,4.8
E92000001,England,nation,2023-07-24,40_44,38,210,6.0
E92000001,England,nation,2023-07-24,45_49,28,209,5.7
E92000001,England,nation,2023-07-24,50_54,52,297,7.7
E92000001,England,nation,2023-07-24,55_59,53,283,7.5
E92000001,England,nation,2023-07-24,60+,315,1620,11.9
E92000001,England,nation,2023-07-24,60_64,49,276,8.6
E92000001,England,nation,2023-07-24,65_69,56,298,10.7
E92000001,England,nation,2023-07-24,70_74,52,288,10.2
E92000001,England,nation,2023-07-24,75_79,54,277,13.8
E92000001,England,nation,2023-07-24,80_84,49,210,14.5
E92000001,England,nation,2023-07-24,85_89,34,164,18.5
E92000001,England,nation,2023-07-24,90+,21,107,20.5
E92000001,England,nation,2023-07-24,unassigned,0,2,
E92000001,England,nation,2023-07-23,00_04,11,82,2.5
E92000001,England,nation,2023-07-23,00_59,276,1818,4.2
E92000001,England,nation,2023-07-23,05_09,2,15,0.4
E92000001,England,nation,2023-07-23,10_14,5,42,1.2
E92000001,England,nation,2023-07-23,15_19,9,70,2.2
E92000001,England,nation,2023-07-23,20_24,13,90,2.6
E92000001,England,nation,2023-07-23,25_29,30,155,4.1
E92000001,England,nation,2023-07-23,30_34,23,179,4.7
E92000001,England,nation,2023-07-23,35_39,34,184,4.9
E92000001,England,nation,2023-07-23,40_44,26,209,6.0
E92000001,England,nation,2023-07-23,45_49,29,209,5.7
E92000001,England,nation,2023-07-23,50_54,56,296,7.6
E92000001,England,nation,2023-07-23,55_59,38,287,7.6
E92000001,England,nation,2023-07-23,60+,217,1500,11.0
E92000001,England,nation,2023-07-23,60_64,37,274,8.6
E92000001,England,nation,2023-07-23,65_69,42,279,10.0
E92000001,England,nation,2023-07-23,70_74,34,261,9.3
E92000001,England,nation,2023-07-23,75_79,37,262,13.0
E92000001,England,nation,2023-07-23,80_84,30,182,12.6
E92000001,England,nation,2023-07-23,85_89,23,147,16.6
E92000001,England,nation,2023-07-23,90+,14,95,18.2
E92000001,England,nation,2023-07-23,unassigned,0,2,
E92000001,England,nation,2023-07-22,00_04,13,83,2.6
E92000001,England,nation,2023-07-22,00_59,208,1776,4.1
E92000001,England,nation,2023-07-22,05_09,3,16,0.5
E92000001,England,nation,2023-07-22,10_14,5,54,1.6
E92000001,England,nation,2023-07-22,15_19,6,69,2.2
E92000001,England,nation,2023-07-22,20_24,8,92,2.6
E92000001,England,nation,2023-07-22,25_29,15,134,3.6
E92000001,England,nation,2023-07-22,30_34,27,179,4.7
E92000001,England,nation,2023-07-22,35_39,13,180,4.8
E92000001,England,nation,2023-07-22,40_44,21,209,6.0
E92000001,England,nation,2023-07-22,45_49,28,201,5.5
E92000001,England,nation,2023-07-22,50_54,35,272,7.0
E92000001,England,nation,2023-07-22,55_59,34,287,7.6
E92000001,England,nation,2023-07-22,60+,204,1432,10.5
E92000001,England,nation,2023-07-22,60_64,33,268,8.4
E92000001,England,nation,2023-07-22,65_69,41,266,9.6
